iter	Logloss
0	0.6887674241
1	0.6844760076
2	0.6819029063
3	0.6781781291
4	0.6746421751
5	0.6705844528
6	0.6672206078
7	0.6628194605
8	0.6590147393
9	0.6553624066
10	0.6512216724
11	0.6480444546
12	0.64486937
13	0.6413369624
14	0.6371668871
15	0.6340027866
16	0.6298715173
17	0.6275997594
18	0.6240292501
19	0.6201264489
20	0.6163015398
21	0.6137800979
22	0.6105455552
23	0.6072565352
24	0.6037202882
25	0.6007803927
26	0.5971999211
27	0.5936996117
28	0.5907202474
29	0.5875068362
30	0.5843205847
31	0.5805906945
32	0.5778901911
33	0.575014516
34	0.572348069
35	0.5699926117
36	0.5668216413
37	0.564081898
38	0.5611724185
39	0.5581839794
40	0.5557558489
41	0.5534009121
42	0.5504835497
43	0.5473795898
44	0.544433595
45	0.5421731736
46	0.5393971743
47	0.5366443635
48	0.5338977844
49	0.5316495712
50	0.5304439412
51	0.5274245105
52	0.5249045418
53	0.5224463195
54	0.5199234795
55	0.5175184512
56	0.5155753828
57	0.5132027442
58	0.5109804456
59	0.5090350602
60	0.5066956053
61	0.50490823
62	0.5027196443
63	0.5014609793
64	0.4994622743
65	0.4969840389
66	0.4949259723
67	0.4927577261
68	0.4914805592
69	0.489548273
70	0.487634517
71	0.4858548709
72	0.4832220664
73	0.4810435608
74	0.4785093265
75	0.4774069922
76	0.4752944881
77	0.473484584
78	0.4715346729
79	0.4694113462
80	0.4670205232
81	0.4653883732
82	0.4641799089
83	0.4622148809
84	0.4601391204
85	0.4590307474
86	0.4573797863
87	0.4556573018
88	0.4540704584
89	0.4531086488
90	0.4517264893
91	0.4496960946
92	0.4492548759
93	0.4481207311
94	0.4466043398
95	0.4449459987
96	0.4433167811
97	0.4423350084
98	0.44050838
99	0.4389360058
100	0.4371120818
101	0.4355985512
102	0.433914747
103	0.4325387031
104	0.4311261372
105	0.4297508117
106	0.4284564443
107	0.426410332
108	0.4249342774
109	0.4233353612
110	0.4215522694
111	0.4200709888
112	0.4195210198
113	0.4180896306
114	0.4167885286
115	0.4155736491
116	0.4145325543
117	0.4136889421
118	0.4128781791
119	0.4115781257
120	0.4100235318
121	0.4084294744
122	0.4071895343
123	0.4061419909
124	0.4048211284
125	0.4035882065
126	0.4027325998
127	0.4011439139
128	0.3996155261
129	0.3982593578
130	0.3969166925
131	0.3963957375
132	0.3953694206
133	0.3939598913
134	0.3926673978
135	0.3914434302
136	0.3900495133
137	0.3886821661
138	0.3875854979
139	0.3864831048
140	0.3853113067
141	0.384484703
142	0.3832815635
143	0.382005987
144	0.3809599871
145	0.3797548467
146	0.3784709507
147	0.3774448761
148	0.3763128935
149	0.3750120223
150	0.3738641299
151	0.3731142636
152	0.371935497
153	0.3711568301
154	0.3697293352
155	0.3685589746
156	0.3674081258
157	0.3666920204
158	0.3655254506
159	0.3647182383
160	0.363774801
161	0.3628772833
162	0.3621945058
163	0.3613535411
164	0.3606015048
165	0.3592194538
166	0.3580687531
167	0.3570870802
168	0.3563272324
169	0.3553876658
170	0.3546881275
171	0.3536601337
172	0.3530557289
173	0.3523756297
174	0.3511577544
175	0.3503524988
176	0.3495009985
177	0.3483629884
178	0.3476966039
179	0.3464634285
180	0.3453976377
181	0.3445412039
182	0.3432612227
183	0.3426474713
184	0.3419614086
185	0.3413108346
186	0.3401843395
187	0.339437373
188	0.3385138278
189	0.3376380717
190	0.336796755
191	0.3358019589
192	0.3349705713
193	0.3342142257
194	0.3334595462
195	0.3327748124
196	0.3320686094
197	0.3313469101
198	0.3302885269
199	0.3296712692
200	0.3285095035
201	0.3276255715
202	0.3269850661
203	0.3257955523
204	0.3250766371
205	0.3241824625
206	0.3234101164
207	0.3225597813
208	0.3218823507
209	0.3209092836
210	0.3203487228
211	0.3197023426
212	0.3191345638
213	0.3182395288
214	0.3175284209
215	0.3173231545
216	0.3167002674
217	0.3159226754
218	0.3155081094
219	0.314768782
220	0.3138170983
221	0.3126795599
222	0.3126042332
223	0.3119021746
224	0.3111172356
225	0.3106146962
226	0.3099773404
227	0.3091119234
228	0.3082441696
229	0.3075591797
230	0.3066365011
231	0.3060105814
232	0.3052576242
233	0.3046828424
234	0.3039010084
235	0.303174974
236	0.3024963377
237	0.3015164944
238	0.3008031462
239	0.3003630242
240	0.2997090332
241	0.2987822324
242	0.298072314
243	0.2975377132
244	0.297002393
245	0.2960779496
246	0.2953620366
247	0.294662354
248	0.2942263065
249	0.2935687276
